08-17 00:01:31 [INFO] nonebot | Event will be handled by Matcher(type='message', module=basic_plugins.chat_history.chat_message)
08-17 00:01:32 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.parse_bilibili_json)
08-17 00:01:32 [INFO] nonebot | Matcher(type='message', module=plugins.black_word) running complete
08-17 00:01:32 [INFO] nonebot | Matcher(type='message', module=plugins.mute) running complete
08-17 00:01:32 [INFO] nonebot | Matcher(type='message', module=plugins.parse_bilibili_json) running complete
08-17 00:01:32 [INFO] nonebot | Matcher(type='message', module=basic_plugins.chat_history.chat_message) running complete
08-17 00:01:32 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.fudu)
08-17 00:01:32 [INFO] nonebot | Matcher(type='message', module=plugins.fudu) running complete
08-17 00:01:32 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.fudu)
08-17 00:01:33 [INFO] services | 下载 https://gchat.qpic.cn/gchatpic_new/1584408682/2168794340-2348399616-53D1B8F3C31DDD581ECB062C4905C4ED/0?term=2&is_origin=0 成功.. Path：/opt/zhenxun_bot/resources/temp/compare_178794340_img.jpg
08-17 00:01:33 [INFO] nonebot | Matcher(type='message', module=plugins.fudu) running complete
08-17 00:01:35 [SUCCESS] nonebot | OneBot V11 920935721 | [message.group.normal]: Message 1505492568 from 552491466@[群:178794340] "点一下就中了"
08-17 00:01:35 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.black_word)
08-17 00:01:35 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.mute)
08-17 00:01:35 [INFO] nonebot | Event will be handled by Matcher(type='message', module=basic_plugins.chat_history.chat_message)
08-17 00:01:35 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.parse_bilibili_json)
08-17 00:01:35 [INFO] nonebot | Matcher(type='message', module=plugins.black_word) running complete
08-17 00:01:35 [INFO] nonebot | Matcher(type='message', module=plugins.mute) running complete
08-17 00:01:35 [INFO] nonebot | Matcher(type='message', module=plugins.parse_bilibili_json) running complete
08-17 00:01:35 [INFO] nonebot | Matcher(type='message', module=basic_plugins.chat_history.chat_message) running complete
08-17 00:01:35 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.fudu)
08-17 00:01:35 [INFO] nonebot | Matcher(type='message', module=plugins.fudu) running complete
08-17 00:01:41 [SUCCESS] nonebot | OneBot V11 920935721 | [message.group.normal]: Message 784125646 from 552491466@[群:178794340] "突如其来的惊喜"
